"year","fips","pop2020","pop2024","state","stateCode","growthSince2020","name","county","slug","landArea","density","rank","densityMi","areaMi"
2024,51059,1148627,1144447,"Virginia","VA",-0.0036391274103777516,"Fairfax County","Fairfax County","virginia/fairfax-county",391,2926.97442455243,1,2926.97442455243,391
2024,51153,482834,492268,"Virginia","VA",0.01953880629781657,"Prince William County","Prince William County","virginia/prince-william-county",335,1469.4567164179105,2,1469.4567164179105,335
2024,51810,459684,452229,"Virginia","VA",-0.01621766256819901,"Virginia Beach city","Virginia Beach city","virginia/virginia-beach-city",245,1845.8326530612244,3,1845.8326530612244,245
2024,51107,422705,439902,"Virginia","VA",0.04068321879324821,"Loudoun County","Loudoun County","virginia/loudoun-county",516,852.5232558139535,4,852.5232558139535,516
2024,51041,365311,389462,"Virginia","VA",0.06611079326929659,"Chesterfield County","Chesterfield County","virginia/chesterfield-county",424,918.5424528301887,5,918.5424528301887,424
2024,51087,334905,334967,"Virginia","VA",0.00018512712560281308,"Henrico County","Henrico County","virginia/henrico-county",234,1431.482905982906,6,1431.482905982906,234
2024,51550,249781,255313,"Virginia","VA",0.02214740112338398,"Chesapeake city","Chesapeake city","virginia/chesapeake-city",338,755.3639053254437,7,755.3639053254437,338
2024,51013,238814,234646,"Virginia","VA",-0.017452913145795446,"Arlington County","Arlington County","virginia/arlington-county",26,9024.846153846154,8,9024.846153846154,26
2024,51760,226936,230127,"Virginia","VA",0.01406123312299501,"Richmond city","Richmond city","virginia/richmond-city",60,3835.45,9,3835.45,60
2024,51710,237789,229302,"Virginia","VA",-0.03569130615798044,"Norfolk city","Norfolk city","virginia/norfolk-city",53,4326.452830188679,10,4326.452830188679,53
2024,51700,186047,182256,"Virginia","VA",-0.02037657151149974,"Newport News city","Newport News city","virginia/newport-news-city",69,2641.391304347826,11,2641.391304347826,69
2024,51179,157765,167687,"Virginia","VA",0.06289100877887988,"Stafford County","Stafford County","virginia/stafford-county",269,623.3717472118959,12,623.3717472118959,269
2024,51510,159139,155415,"Virginia","VA",-0.023400926234298347,"Alexandria city","Alexandria city","virginia/alexandria-city",15,10361,13,10361,15
2024,51177,140604,152348,"Virginia","VA",0.08352536200961569,"Spotsylvania County","Spotsylvania County","virginia/spotsylvania-county",402,378.97512437810946,14,378.97512437810946,402
2024,51650,137280,136338,"Virginia","VA",-0.006861888111888148,"Hampton city","Hampton city","virginia/hampton-city",51,2673.294117647059,15,2673.294117647059,51
2024,51003,112510,116507,"Virginia","VA",0.035525731046129216,"Albemarle County","Albemarle County","virginia/albemarle-county",720,161.81527777777777,16,161.81527777777777,720
2024,51085,110202,115436,"Virginia","VA",0.04749460082394141,"Hanover County","Hanover County","virginia/hanover-county",468,246.65811965811966,17,246.65811965811966,468
2024,51800,94750,102892,"Virginia","VA",0.08593139841688657,"Suffolk city","Suffolk city","virginia/suffolk-city",399,257.874686716792,18,257.874686716792,399
2024,51121,99574,98506,"Virginia","VA",-0.010725691445558128,"Montgomery County","Montgomery County","virginia/montgomery-county",387,254.5374677002584,19,254.5374677002584,387
2024,51161,96923,97296,"Virginia","VA",0.0038484157527109986,"Roanoke County","Roanoke County","virginia/roanoke-county",251,387.63346613545815,20,387.63346613545815,251
2024,51069,91870,97180,"Virginia","VA",0.05779906389463374,"Frederick County","Frederick County","virginia/frederick-county",413,235.30266343825667,21,235.30266343825667,413
2024,51770,99891,96685,"Virginia","VA",-0.03209498353204998,"Roanoke city","Roanoke city","virginia/roanoke-city",43,2248.4883720930234,22,2248.4883720930234,43
2024,51740,97955,96632,"Virginia","VA",-0.013506201827369724,"Portsmouth city","Portsmouth city","virginia/portsmouth-city",33,2928.242424242424,23,2928.242424242424,33
2024,51165,83774,87722,"Virginia","VA",0.04712679351588789,"Rockingham County","Rockingham County","virginia/rockingham-county",850,103.20235294117647,24,103.20235294117647,850
